2025-12-24 12:45:58,422 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-24 12:45:58,422 | INFO | AutomationLogger | Starting browser: chrome
2025-12-24 12:46:00,315 | INFO | AutomationLogger | Opening login page
2025-12-24 12:46:00,316 | INFO | AutomationLogger | LoginPage.open() called
2025-12-24 12:46:04,147 | INFO | AutomationLogger | Closing browser
2025-12-25 17:47:49,044 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 17:47:49,044 | INFO | AutomationLogger | GET /api/users?page=2
2025-12-25 17:47:49,716 | INFO | AutomationLogger | POST /api/users
2025-12-25 17:52:49,053 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 17:52:49,054 | INFO | AutomationLogger | GET /api/users?page=2
2025-12-25 17:52:49,581 | INFO | AutomationLogger | POST /api/users
2025-12-25 18:00:15,636 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 18:00:15,637 | INFO | AutomationLogger | GET /api/users?page=2
2025-12-25 18:00:16,312 | INFO | AutomationLogger | POST /api/users
2025-12-25 18:02:00,814 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 20:46:29,528 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 20:46:29,529 | INFO | AutomationLogger | GET https://reqres.in/api/users?page=2
2025-12-25 20:46:30,143 | INFO | AutomationLogger | POST https://reqres.in/api/users
2025-12-25 20:47:42,396 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 20:47:42,396 | INFO | AutomationLogger | GET https://reqres.in/api/users?page=2
2025-12-25 20:47:43,165 | INFO | AutomationLogger | POST https://reqres.in/api/users
2025-12-25 20:54:42,531 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 20:54:42,532 | INFO | AutomationLogger | GET https://reqres.in/api/users?page=2
2025-12-25 20:54:43,215 | INFO | AutomationLogger | POST https://reqres.in/api/users
2025-12-25 21:52:36,253 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 21:53:32,046 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
2025-12-25 21:56:44,043 | INFO | AutomationLogger | ==== Automation Logger Initialized ====
